name,abilities
Turtwig,"['Overgrow', 'Shell Armor']"
Grotle,"['Overgrow', 'Shell Armor']"
Torterra,"['Overgrow', 'Shell Armor']"
Chimchar,"['Blaze', 'Iron Fist']"
Monferno,"['Blaze', 'Iron Fist']"
Infernape,"['Blaze', 'Iron Fist']"
Piplup,"['Torrent', 'Defiant']"
Prinplup,"['Torrent', 'Defiant']"
Empoleon,"['Torrent', 'Defiant']"
Starly,"['Keen Eye', 'Reckless']"
Staravia,"['Intimidate', 'Reckless']"
Staraptor,"['Intimidate', 'Reckless']"
Bidoof,"['Simple', 'Unaware', 'Moody']"
Bibarel,"['Simple', 'Unaware', 'Moody']"
Kricketot,"['Shed Skin', 'Run Away']"
Kricketune,"['Swarm', 'Technician']"
Shinx,"['Rivalry', 'Intimidate', 'Guts']"
Luxio,"['Rivalry', 'Intimidate', 'Guts']"
Luxray,"['Rivalry', 'Intimidate', 'Guts']"
Budew,"['Natural Cure', 'Poison Point', 'Leaf Guard']"
Roserade,"['Natural Cure', 'Poison Point', 'Technician']"
Cranidos,"['Mold Breaker', 'Sheer Force']"
Rampardos,"['Mold Breaker', 'Sheer Force']"
Shieldon,"['Sturdy', 'Soundproof']"
Bastiodon,"['Sturdy', 'Soundproof']"
Burmy,"['Shed Skin', 'Overcoat']"
Wormadam,"['Anticipation', 'Overcoat']"
Mothim,"['Swarm', 'Tinted Lens']"
Combee,"['Honey Gather', 'Hustle']"
Vespiquen,"['Pressure', 'Unnerve']"
Pachirisu,"['Run Away', 'Pickup', 'Volt Absorb']"
Buizel,"['Swift Swim', 'Water Veil']"
Floatzel,"['Swift Swim', 'Water Veil']"
Cherubi,['Chlorophyll']
Cherrim,['Flower Gift']
Shellos,"['Sticky Hold', 'Storm Drain', 'Sand Force']"
Gastrodon,"['Sticky Hold', 'Storm Drain', 'Sand Force']"
Ambipom,"['Technician', 'Pickup', 'Skill Link']"
Drifloon,"['Aftermath', 'Unburden', 'Flare Boost']"
Drifblim,"['Aftermath', 'Unburden', 'Flare Boost']"
Buneary,"['Run Away', 'Klutz', 'Limber']"
Lopunny,"['Cute Charm', 'Klutz', 'Limber']"
Mismagius,['Levitate']
Honchkrow,"['Insomnia', 'Super Luck', 'Moxie']"
Glameow,"['Limber', 'Own Tempo', 'Keen Eye']"
Purugly,"['Thick Fat', 'Own Tempo', 'Defiant']"
Chingling,['Levitate']
Stunky,"['Stench', 'Aftermath', 'Keen Eye']"
Skuntank,"['Stench', 'Aftermath', 'Keen Eye']"
Bronzor,"['Levitate', 'Heatproof', 'Heavy Metal']"
Bronzong,"['Levitate', 'Heatproof', 'Heavy Metal']"
Bonsly,"['Sturdy', 'Rock Head', 'Rattled']"
Mime Jr.,"['Soundproof', 'Filter', 'Technician']"
Happiny,"['Natural Cure', 'Serene Grace', 'Friend Guard']"
Chatot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
Spiritomb,"['Pressure', 'Infiltrator']"
Gible,"['Sand Veil', 'Rough Skin']"
Gabite,"['Sand Veil', 'Rough Skin']"
Garchomp,"['Sand Veil', 'Rough Skin']"
Munchlax,"['Pickup', 'Thick Fat', 'Gluttony']"
Riolu,"['Steadfast', 'Inner Focus', 'Prankster']"
Lucario,"['Steadfast', 'Inner Focus', 'Justified']"
Hippopotas,"['Sand Stream', 'Sand Force']"
Hippowdon,"['Sand Stream', 'Sand Force']"
Skorupi,"['Battle Armor', 'Sniper', 'Keen Eye']"
Drapion,"['Battle Armor', 'Sniper', 'Keen Eye']"
Croagunk,"['Anticipation', 'Dry Skin', 'Poison Touch']"
Toxicroak,"['Anticipation', 'Dry Skin', 'Poison Touch']"
Carnivine,['Levitate']
Finneon,"['Swift Swim', 'Storm Drain', 'Water Veil']"
Lumineon,"['Swift Swim', 'Storm Drain', 'Water Veil']"
Mantyke,"['Swift Swim', 'Water Absorb', 'Water Veil']"
Snover,"['Snow Warning', 'Soundproof']"
Abomasnow,"['Snow Warning', 'Soundproof']"
Weavile,"['Pressure', 'Pickpocket']"
Magnezone,"['Magnet Pull', 'Sturdy', 'Analytic']"
Lickilicky,"['Own Tempo', 'Oblivious', 'Cloud Nine']"
Rhyperior,"['Lightningrod', 'Solid Rock', 'Reckless']"
Tangrowth,"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
Electivire,"['Motor Drive', 'Vital Spirit']"
Magmortar,"['Flame Body', 'Vital Spirit']"
Togekiss,"['Hustle', 'Serene Grace', 'Super Luck']"
Yanmega,"['Speed Boost', 'Tinted Lens', 'Frisk']"
Leafeon,"['Leaf Guard', 'Chlorophyll']"
Glaceon,"['Snow Cloak', 'Ice Body']"
Gliscor,"['Hyper Cutter', 'Sand Veil', 'Poison Heal']"
Mamoswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']"
Porygon-Z,"['Adaptability', 'Download', 'Analytic']"
Gallade,"['Steadfast', 'Justified']"
Probopass,"['Sturdy', 'Magnet Pull', 'Sand Force']"
Dusknoir,"['Pressure', 'Frisk']"
Froslass,"['Snow Cloak', 'Cursed Body']"
Rotom,['Levitate']
Uxie,['Levitate']
Mesprit,['Levitate']
Azelf,['Levitate']
Dialga,"['Pressure', 'Telepathy']"
Palkia,"['Pressure', 'Telepathy']"
Heatran,"['Flash Fire', 'Flame Body']"
Regigigas,['Slow Start']
Giratina,"['Pressure', 'Telepathy', 'Levitate']"
Cresselia,['Levitate']
Phione,['Hydration']
Manaphy,['Hydration']
Darkrai,['Bad Dreams']
Shaymin,"['Natural Cure', 'Serene Grace']"
Arceus,['Multitype']
Victini,['Victory Star']
Snivy,"['Overgrow', 'Contrary']"
Servine,"['Overgrow', 'Contrary']"
Serperior,"['Overgrow', 'Contrary']"
Tepig,"['Blaze', 'Thick Fat']"
Pignite,"['Blaze', 'Thick Fat']"
Emboar,"['Blaze', 'Reckless']"
Oshawott,"['Torrent', 'Shell Armor']"
Dewott,"['Torrent', 'Shell Armor']"
Samurott,"['Torrent', 'Shell Armor']"
Patrat,"['Run Away', 'Keen Eye', 'Analytic']"
Watchog,"['Illuminate', 'Keen Eye', 'Analytic']"
Lillipup,"['Vital Spirit', 'Pickup', 'Run Away']"
Herdier,"['Intimidate', 'Sand Rush', 'Scrappy']"
Stoutland,"['Intimidate', 'Sand Rush', 'Scrappy']"
Purrloin,"['Limber', 'Unburden', 'Prankster']"
Liepard,"['Limber', 'Unburden', 'Prankster']"
Pansage,"['Gluttony', 'Overgrow']"
Simisage,"['Gluttony', 'Overgrow']"
Pansear,"['Gluttony', 'Blaze']"
Simisear,"['Gluttony', 'Blaze']"
Panpour,"['Gluttony', 'Torrent']"
Simipour,"['Gluttony', 'Torrent']"
Munna,"['Forewarn', 'Synchronize', 'Telepathy']"
Musharna,"['Forewarn', 'Synchronize', 'Telepathy']"
Pidove,"['Big Pecks', 'Super Luck', 'Rivalry']"
Tranquill,"['Big Pecks', 'Super Luck', 'Rivalry']"
Unfezant,"['Big Pecks', 'Super Luck', 'Rivalry']"
Blitzle,"['Lightningrod', 'Motor Drive', 'Sap Sipper']"
Zebstrika,"['Lightningrod', 'Motor Drive', 'Sap Sipper']"
Roggenrola,"['Sturdy', 'Weak Armor', 'Sand Force']"
Boldore,"['Sturdy', 'Weak Armor', 'Sand Force']"
Gigalith,"['Sturdy', 'Sand Stream', 'Sand Force']"
Woobat,"['Unaware', 'Klutz', 'Simple']"
Swoobat,"['Unaware', 'Klutz', 'Simple']"
Drilbur,"['Sand Rush', 'Sand Force', 'Mold Breaker']"
Excadrill,"['Sand Rush', 'Sand Force', 'Mold Breaker']"
Audino,"['Healer', 'Regenerator', 'Klutz']"
Timburr,"['Guts', 'Sheer Force', 'Iron Fist']"
Gurdurr,"['Guts', 'Sheer Force', 'Iron Fist']"
Conkeldurr,"['Guts', 'Sheer Force', 'Iron Fist']"
Tympole,"['Swift Swim', 'Hydration', 'Water Absorb']"
Palpitoad,"['Swift Swim', 'Hydration', 'Water Absorb']"
Seismitoad,"['Swift Swim', 'Poison Touch', 'Water Absorb']"
Throh,"['Guts', 'Inner Focus', 'Mold Breaker']"
Sawk,"['Sturdy', 'Inner Focus', 'Mold Breaker']"
Sewaddle,"['Swarm', 'Chlorophyll', 'Overcoat']"
Swadloon,"['Leaf Guard', 'Chlorophyll', 'Overcoat']"
Leavanny,"['Swarm', 'Chlorophyll', 'Overcoat']"
Venipede,"['Poison Point', 'Swarm', 'Speed Boost']"
Whirlipede,"['Poison Point', 'Swarm', 'Speed Boost']"
Scolipede,"['Poison Point', 'Swarm', 'Speed Boost']"
Cottonee,"['Prankster', 'Infiltrator', 'Chlorophyll']"
Whimsicott,"['Prankster', 'Infiltrator', 'Chlorophyll']"
Petilil,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']"
Lilligant,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']"
Basculin,"['Reckless', 'Rock Head', 'Adaptability', 'Mold Breaker']"
Sandile,"['Intimidate', 'Moxie', 'Anger Point']"
Krokorok,"['Intimidate', 'Moxie', 'Anger Point']"
Krookodile,"['Intimidate', 'Moxie', 'Anger Point']"
Darumaka,"['Hustle', 'Inner Focus']"
Darmanitan,"['Sheer Force', 'Zen Mode']"
Maractus,"['Water Absorb', 'Chlorophyll', 'Storm Drain']"
Dwebble,"['Sturdy', 'Shell Armor', 'Weak Armor']"
Crustle,"['Sturdy', 'Shell Armor', 'Weak Armor']"
Scraggy,"['Shed Skin', 'Moxie', 'Intimidate']"
Scrafty,"['Shed Skin', 'Moxie', 'Intimidate']"
Sigilyph,"['Wonder Skin ', 'Magic Guard', 'Tinted Lens']"
Yamask,['Mummy']
Cofagrigus,['Mummy']
Tirtouga,"['Solid Rock', 'Sturdy', 'Swift Swim']"
Carracosta,"['Solid Rock', 'Sturdy', 'Swift Swim']"
Archen,['Defeatist']
Archeops,['Defeatist']
Trubbish,"['Stench', 'Sticky Hold', 'Aftermath']"
Garbodor,"['Stench', 'Weak Armor', 'Aftermath']"
Zorua,['Illusion']
Zoroark,['Illusion']
Minccino,"['Cute Charm', 'Technician', 'Skill Link']"
Cinccino,"['Cute Charm', 'Technician', 'Skill Link']"
Gothita,"['Frisk', 'Competitive', 'Shadow Tag']"
Gothorita,"['Frisk', 'Competitive', 'Shadow Tag']"
Gothitelle,"['Frisk', 'Competitive', 'Shadow Tag']"
Solosis,"['Overcoat', 'Magic Guard', 'Regenerator']"
Duosion,"['Overcoat', 'Magic Guard', 'Regenerator']"
Reuniclus,"['Overcoat', 'Magic Guard', 'Regenerator']"
Ducklett,"['Keen Eye', 'Big Pecks', 'Hydration']"
Swanna,"['Keen Eye', 'Big Pecks', 'Hydration']"
Vanillite,"['Ice Body', 'Snow Cloak', 'Weak Armor']"
Vanillish,"['Ice Body', 'Snow Cloak', 'Weak Armor']"
Vanilluxe,"['Ice Body', 'Snow Warning', 'Weak Armor']"
Deerling,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']"
Sawsbuck,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']"
Emolga,"['Static', 'Motor Drive']"
Karrablast,"['Swarm', 'Shed Skin', 'No Guard']"
Escavalier,"['Swarm', 'Shell Armor', 'Overcoat']"
Foongus,"['Effect Spore', 'Regenerator']"
Amoonguss,"['Effect Spore', 'Regenerator']"
Frillish,"['Water Absorb', 'Cursed Body', 'Damp']"
Jellicent,"['Water Absorb', 'Cursed Body', 'Damp']"
Alomomola,"['Healer', 'Hydration', 'Regenerator']"
Joltik,"['Compoundeyes', 'Unnerve', 'Swarm']"
Galvantula,"['Compoundeyes', 'Unnerve', 'Swarm']"
Ferroseed,['Iron Barbs']
Ferrothorn,"['Iron Barbs', 'Anticipation']"
Klink,"['Plus', 'Minus', 'Clear Body']"
Klang,"['Plus', 'Minus', 'Clear Body']"
Klinklang,"['Plus', 'Minus', 'Clear Body']"
Tynamo,['Levitate']
Eelektrik,['Levitate']
Eelektross,['Levitate']
Elgyem,"['Telepathy', 'Synchronize', 'Analytic']"
Beheeyem,"['Telepathy', 'Synchronize', 'Analytic']"
Litwick,"['Flash Fire', 'Flame Body', 'Infiltrator']"
Lampent,"['Flash Fire', 'Flame Body', 'Infiltrator']"
Chandelure,"['Flash Fire', 'Flame Body', 'Infiltrator']"
Axew,"['Rivalry', 'Mold Breaker', 'Unnerve']"
Fraxure,"['Rivalry', 'Mold Breaker', 'Unnerve']"
Haxorus,"['Rivalry', 'Mold Breaker', 'Unnerve']"
Cubchoo,"['Snow Cloak', 'Slush Rush', 'Rattled']"
Beartic,"['Snow Cloak', 'Slush Rush', 'Swift Swim']"
Cryogonal,['Levitate']
Shelmet,"['Hydration', 'Shell Armor', 'Overcoat']"
Accelgor,"['Hydration', 'Sticky Hold', 'Unburden']"
Stunfisk,"['Static', 'Limber', 'Sand Veil']"
Mienfoo,"['Inner Focus', 'Regenerator', 'Reckless']"
Mienshao,"['Inner Focus', 'Regenerator', 'Reckless']"
Druddigon,"['Rough Skin', 'Sheer Force', 'Mold Breaker']"
Golett,"['Iron Fist', 'Klutz', 'No Guard']"
Golurk,"['Iron Fist', 'Klutz', 'No Guard']"
Pawniard,"['Defiant', 'Inner Focus', 'Pressure']"
Bisharp,"['Defiant', 'Inner Focus', 'Pressure']"
Bouffalant,"['Reckless', 'Sap Sipper', 'Soundproof']"
Rufflet,"['Keen Eye', 'Sheer Force', 'Hustle']"
Braviary,"['Keen Eye', 'Sheer Force', 'Defiant']"
Vullaby,"['Big Pecks', 'Overcoat', 'Weak Armor']"
Mandibuzz,"['Big Pecks', 'Overcoat', 'Weak Armor']"
Heatmor,"['Gluttony', 'Flash Fire', 'White Smoke']"
Durant,"['Swarm', 'Hustle', 'Truant']"
Deino,['Hustle']
Zweilous,['Hustle']
Hydreigon,['Levitate']
Larvesta,"['Flame Body', 'Swarm']"
Volcarona,"['Flame Body', 'Swarm']"
Cobalion,['Justified']
Terrakion,['Justified']
Virizion,['Justified']
Tornadus,"['Prankster', 'Defiant', 'Regenerator']"
Thundurus,"['Prankster', 'Defiant', 'Volt Absorb']"
Reshiram,['Turboblaze']
Zekrom,['Teravolt']
Landorus,"['Sand Force', 'Sheer Force', 'Intimidate']"
Kyurem,"['Pressure', 'Teravolt', 'Turboblaze']"
Keldeo,['Justified']
Meloetta,['Serene Grace']
Genesect,['Download']
Chespin,"['Overgrow', 'Bulletproof']"
Quilladin,"['Overgrow', 'Bulletproof']"
Chesnaught,"['Overgrow', 'Bulletproof']"
Fennekin,"['Blaze', 'Magician']"
Braixen,"['Blaze', 'Magician']"
Delphox,"['Blaze', 'Magician']"
Froakie,"['Torrent', 'Protean']"
Frogadier,"['Torrent', 'Protean']"
Greninja,"['Torrent', 'Protean', 'Battle Bond']"
Bunnelby,"['Pickup', 'Cheek Pouch', 'Huge Power']"
Diggersby,"['Pickup', 'Cheek Pouch', 'Huge Power']"
Fletchling,"['Big Pecks', 'Gale Wings']"
Fletchinder,"['Flame Body', 'Gale Wings']"
Talonflame,"['Flame Body', 'Gale Wings']"
Scatterbug,"['Shield Dust', 'Compoundeyes', 'Friend Guard']"
Spewpa,"['Shed Skin', 'Friend Guard']"
Vivillon,"['Shield Dust', 'Compoundeyes', 'Friend Guard']"
Litleo,"['Rivalry', 'Unnerve', 'Moxie']"
Pyroar,"['Rivalry', 'Unnerve', 'Moxie']"
Flabébé,"['Flower Veil', 'Symbiosis']"
Floette,"['Flower Veil', 'Symbiosis']"
Florges,"['Flower Veil', 'Symbiosis']"
Skiddo,"['Sap Sipper', 'Grass Pelt']"
Gogoat,"['Sap Sipper', 'Grass Pelt']"
Pancham,"['Iron Fist', 'Mold Breaker', 'Scrappy']"
Pangoro,"['Iron Fist', 'Mold Breaker', 'Scrappy']"
Furfrou,['Fur Coat']
Espurr,"['Keen Eye', 'Infiltrator', 'Own Tempo']"
Meowstic,"['Keen Eye', 'Infiltrator', 'Prankster', 'Competitive']"
Honedge,['No Guard']
Doublade,['No Guard']
Aegislash,['Stance Change']
Spritzee,"['Healer', 'Aroma Veil']"
Aromatisse,"['Healer', 'Aroma Veil']"
Swirlix,"['Sweet Veil', 'Unburden']"
Slurpuff,"['Sweet Veil', 'Unburden']"
Inkay,"['Contrary', 'Suction Cups', 'Infiltrator']"
Malamar,"['Contrary', 'Suction Cups', 'Infiltrator']"
Binacle,"['Tough Claws', 'Sniper', 'Pickpocket']"
Barbaracle,"['Tough Claws', 'Sniper', 'Pickpocket']"
Skrelp,"['Poison Point', 'Poison Touch', 'Adaptability']"
Dragalge,"['Poison Point', 'Poison Touch', 'Adaptability']"
Clauncher,['Mega Launcher']
Clawitzer,['Mega Launcher']
Helioptile,"['Dry Skin', 'Sand Veil', 'Solar Power']"
Heliolisk,"['Dry Skin', 'Sand Veil', 'Solar Power']"
Tyrunt,"['Strong Jaw', 'Sturdy']"
Tyrantrum,"['Strong Jaw', 'Rock Head']"
Amaura,"['Refrigerate', 'Snow Warning']"
Aurorus,"['Refrigerate', 'Snow Warning']"
Sylveon,"['Cute Charm', 'Pixilate']"
Hawlucha,"['Limber', 'Unburden', 'Mold Breaker']"
Dedenne,"['Cheek Pouch', 'Pickup', 'Plus']"
Carbink,"['Clear Body', 'Sturdy']"
Goomy,"['Sap Sipper', 'Hydration', 'Gooey']"
Sliggoo,"['Sap Sipper', 'Hydration', 'Gooey']"
Goodra,"['Sap Sipper', 'Hydration', 'Gooey']"
Klefki,"['Prankster', 'Magician']"
Phantump,"['Natural Cure', 'Frisk', 'Harvest']"
Trevenant,"['Natural Cure', 'Frisk', 'Harvest']"
Pumpkaboo,"['Pickup', 'Frisk', 'Insomnia']"
Gourgeist,"['Pickup', 'Frisk', 'Insomnia']"
Bergmite,"['Own Tempo', 'Ice Body', 'Sturdy']"
Avalugg,"['Own Tempo', 'Ice Body', 'Sturdy']"
Noibat,"['Frisk', 'Infiltrator', 'Telepathy']"
Noivern,"['Frisk', 'Infiltrator', 'Telepathy']"
Xerneas,['Fairy Aura']
Yveltal,['Dark Aura']
Zygarde,"['Aura Break', 'Power Construct']"
Diancie,['Clear Body']
Hoopa,['Magician']
Volcanion,['Water Absorb']
Rowlet,"['Overgrow', 'Long Reach']"
Dartrix,"['Overgrow', 'Long Reach']"
Decidueye,"['Overgrow', 'Long Reach']"
Litten,"['Blaze', 'Intimidate']"
Torracat,"['Blaze', 'Intimidate']"
Incineroar,"['Blaze', 'Intimidate']"
Popplio,"['Torrent', 'Liquid Voice']"
Brionne,"['Torrent', 'Liquid Voice']"
Primarina,"['Torrent', 'Liquid Voice']"
Pikipek,"['Keen Eye', 'Skill Link', 'Pickup']"
Trumbeak,"['Keen Eye', 'Skill Link', 'Pickup']"
Toucannon,"['Keen Eye', 'Skill Link', 'Sheer Force']"
Yungoos,"['Stakeout', 'Strong Jaw', 'Adaptability']"
Gumshoos,"['Stakeout', 'Strong Jaw', 'Adaptability']"
Grubbin,['Swarm']
Charjabug,['Battery']
Vikavolt,['Levitate']
Crabrawler,"['Hyper Cutter', 'Iron Fist', 'Anger Point']"
Crabominable,"['Hyper Cutter', 'Iron Fist', 'Anger Point']"
Oricorio,['Dancer']
Cutiefly,"['Honey Gather', 'Shield Dust', 'Sweet Veil']"
Ribombee,"['Honey Gather', 'Shield Dust', 'Sweet Veil']"
Rockruff,"['Keen Eye', 'Vital Spirit', 'Steadfast']"
Lycanroc,"['Keen Eye', 'Sand Rush', 'Steadfast', 'Keen Eye', 'Vital Spirit', 'No Guard']"
Wishiwashi,['Schooling']
Mareanie,"['Merciless', 'Limber', 'Regenerator']"
Toxapex,"['Merciless', 'Limber', 'Regenerator']"
Mudbray,"['Own Tempo', 'Stamina', 'Inner Focus']"
Mudsdale,"['Own Tempo', 'Stamina', 'Inner Focus']"
Dewpider,"['Water Bubble', 'Water Absorb']"
Araquanid,"['Water Bubble', 'Water Absorb']"
Fomantis,"['Leaf Guard', 'Contrary']"
Lurantis,"['Leaf Guard', 'Contrary']"
Morelull,"['Illuminate', 'Effect Spore', 'Rain Dish']"
Shiinotic,"['Illuminate', 'Effect Spore', 'Rain Dish']"
Salandit,"['Corrosion', 'Oblivious']"
Salazzle,"['Corrosion', 'Oblivious']"
Stufful,"['Fluffy', 'Klutz', 'Cute Charm']"
Bewear,"['Fluffy', 'Klutz', 'Unnerve']"
Bounsweet,"['Leaf Guard', 'Oblivious', 'Sweet Veil']"
Steenee,"['Leaf Guard', 'Oblivious', 'Sweet Veil']"
Tsareena,"['Leaf Guard', 'Queenly Majesty', 'Sweet Veil']"
Comfey,"['Flower Veil', 'Triage', 'Natural Cure']"
Oranguru,"['Inner Focus', 'Telepathy', 'Symbiosis']"
Passimian,"['Receiver', 'Defiant']"
Wimpod,['Wimp Out']
Golisopod,['Emergency Exit']
Sandygast,"['Water Compaction', 'Sand Veil']"
Palossand,"['Water Compaction', 'Sand Veil']"
Pyukumuku,"['Innards Out', 'Unaware']"
Type: Null,['Battle Armor']
Silvally,['RKS System']
Minior,['Shields Down']
Komala,['Comatose']
Turtonator,['Shell Armor']
Togedemaru,"['Iron Barbs', 'Lightningrod', 'Sturdy']"
Mimikyu,['Disguise']
Bruxish,"['Dazzling', 'Strong Jaw', 'Wonder Skin ']"
Drampa,"['Berserk', 'Sap Sipper', 'Cloud Nine']"
Dhelmise,['Steelworker']
Jangmo-o,"['Bulletproof', 'Soundproof', 'Overcoat']"
Hakamo-o,"['Bulletproof', 'Soundproof', 'Overcoat']"
Kommo-o,"['Bulletproof', 'Soundproof', 'Overcoat']"
Tapu Koko,"['Electric Surge', 'Telepathy']"
Tapu Lele,"['Psychic Surge', 'Telepathy']"
Tapu Bulu,"['Grassy Surge', 'Telepathy']"
Tapu Fini,"['Misty Surge', 'Telepathy']"
Cosmog,['Unaware']
Cosmoem,['Sturdy']
Solgaleo,['Full Metal Body']
Lunala,['Shadow Shield']
Nihilego,['Beast Boost']
Buzzwole,['Beast Boost']
Pheromosa,['Beast Boost']
Xurkitree,['Beast Boost']
Celesteela,['Beast Boost']
Kartana,['Beast Boost']
Guzzlord,['Beast Boost']
Necrozma,['Prism Armor']
Magearna,['Soul-Heart']
